id,radius
4365,0.27420944
1129,0.6779478
2602,0.27303082
1747,0.67184335
3286,0.27476048
787,0.2688097
2834,0.273359
84,0.26722372
2995,0.27413622
1557,0.27211744
1315,0.27021062
625,0.26688188
5755,0.27406985
3148,0.27403444
5476,0.27404648
2586,0.688921
323,0.26687625
4445,0.27334538
3265,0.6625377
1569,0.26930004
3727,0.27384678
2091,0.2719937
5682,0.2755652
4588,0.27340847
408,0.26717448
5842,0.2762417
4764,0.27416128
5629,0.27369472
393,0.26115564
3682,0.6897239
5595,0.6748285
5926,0.26998392
1419,0.67957777
2166,0.27263254
1883,0.6824103
3966,0.275649
2439,0.27316982
3075,0.6889021
4454,0.27537504
2034,0.26584706
2525,0.27356753
4441,0.66967714
604,0.6493085
4938,0.27376762
4006,0.6874275
4685,0.6872864
4280,0.2764373
4028,0.2735772
5969,0.277089
3487,0.2737628
1514,0.27348402
4391,0.2749242
2977,0.6713258
1194,0.27010813
1321,0.27058405
1862,0.2735524
2803,0.27369282
811,0.66449726
5725,0.27553558
805,0.2689365
4296,0.2739275
4958,0.27528584
79,0.2682011
4635,0.27429265
3940,0.6897977
1433,0.6832422
5999,0.27607775
1600,0.6631396
228,0.2668612
3844,0.27525365
3317,0.27235776
3296,0.27348435
4856,0.26783633
3901,0.27573854
5005,0.6720113
3885,0.27383128
4724,0.27527577
1075,0.6662964
5956,0.26882792
2776,0.27221787
681,0.2672737
2549,0.27505332
3407,0.2728766
2098,0.684119
5564,0.27792263
1221,0.27177885
1912,0.6821641
4558,0.2743677
37,0.26686406
2364,0.27198356
1215,0.27416924
2132,0.2736156
5306,0.68849605
233,0.26730368
3311,0.27498677
5008,0.266627
4104,0.27503586
5376,0.2649521
5384,0.6767138
4055,0.27389058
1643,0.6680319
2312,0.2733714
4982,0.68922883
696,0.26498717
5957,0.26917893
2550,0.27325857
2929,0.27472332
93,0.26692146
1397,0.27176535
4086,0.27471578
5585,0.27665
2516,0.686104
3574,0.668068
5883,0.2762537
4782,0.6862585
1498,0.2718711
324,0.26897138
5562,0.27538186
544,0.27065128
5371,0.6891666
23,0.26688915
2131,0.27237368
1817,0.6776355
2941,0.2662363
1721,0.2736985
2133,0.27314988
3599,0.27595916
565,0.26973587
3995,0.27257535
3839,0.27419224
5256,0.2650301
1864,0.27275988
3903,0.27551794
156,0.26295596
2480,0.27314323
3279,0.27481624
3618,0.6875794
177,0.2683259
1669,0.67682487
439,0.27033982
3718,0.27284902
1188,0.27287644
263,0.26606727
1835,0.27228045
4306,0.27490437
1448,0.67884576
221,0.26628637
254,0.26686174
308,0.26826018
1084,0.26985064
4568,0.27598545
747,0.6669302
31,0.26691297
553,0.26598877
2031,0.6874118
4419,0.27626917
2874,0.66299886
1964,0.27353424
2344,0.6862669
5556,0.27637485
5779,0.27511436
167,0.267411
763,0.27122882
2328,0.27383077
1261,0.6803331
319,0.26126197
6021,0.27609962
2789,0.27190888
296,0.2665327
3872,0.27294987
530,0.26818588
3740,0.668121
2877,0.68833196
5576,0.2757746
4083,0.273104
346,0.2674808
80,0.26694968
2780,0.68911386
2847,0.6655162
3970,0.27527624
5806,0.27343214
1357,0.6808422
5357,0.27301565
1039,0.26949996
865,0.2686053
2142,0.6818678
5640,0.27531832
1730,0.2731107
2694,0.68577576
5346,0.27436143
4359,0.27442405
4051,0.27498758
157,0.26404524
576,0.26570922
325,0.26756075
4211,0.2746832
5962,0.27738988
3252,0.27385613
4836,0.27587864
5439,0.68692344
4669,0.27347082
960,0.67543244
2721,0.26985615
706,0.2698292
3297,0.2736479
401,0.2690438
5513,0.27608272
2650,0.27513584
4761,0.27339917
2373,0.68605345
3819,0.2750442
4969,0.26677382
5743,0.27392763
1647,0.26606166
3809,0.27454996
5744,0.26614738
2932,0.6774569
2389,0.27360973
4827,0.2750575
2228,0.2722702
538,0.26706988
2375,0.27307707
5628,0.2739837
1235,0.6659746
1684,0.27201217
1755,0.27301896
1212,0.27062708
4385,0.27438852
977,0.27110147
2042,0.27366233
4899,0.27606726
6017,0.27517495
2836,0.2726908
4416,0.27409816
50,0.26704597
4058,0.2736733
1319,0.27212274
1468,0.2689082
2337,0.27211437
2765,0.2737665
3543,0.27240628
4678,0.2676984
3477,0.6897444
1650,0.27214405
1268,0.6800741
4686,0.2740507
2691,0.673375
5537,0.2778713
4824,0.6722319
3021,0.27372134
3765,0.68961394
2232,0.27321547
2809,0.27333355
5047,0.27439535
5655,0.26584718
4649,0.6882359
5066,0.6895262
6022,0.27454254
3184,0.2761733
1158,0.26805207
2463,0.27284235
4371,0.2742588
4266,0.2753531
469,0.2668955
2095,0.27268848
3333,0.6861981
2304,0.2729339
926,0.27023906
1350,0.2719661
1383,0.66652286
5144,0.2764703
239,0.2628497
199,0.2631307
4743,0.26977924
1706,0.2722059
1954,0.272977
3470,0.26618755
3383,0.27578828
1550,0.6623424
5849,0.2754196
465,0.26605356
1803,0.27286255
101,0.26697516
4189,0.27391157
