,id,amd,intel,radius,cos_sin_sqrt,ydl,pred,radius_pred
0,5571,259,284,0.25,1.1182668304523842,False,False,0.22496978022702868
1,4339,205,169,0.26,-0.20670143369815522,False,False,0.13509213281389518
2,4397,208,430,0.1,,False,False,0.14656098467177925
3,4088,195,504,0.16,0.14609257921705038,False,True,0.7813896339727261
4,1612,99,417,0.17,,False,False,0.15267311062971753
5,4559,216,199,0.34,0.3297530904638078,False,False,0.20634160744694596
6,3352,163,87,0.77,-0.16450389428518056,True,True,0.8592202796285586
7,5732,265,78,0.85,0.1701136610080062,True,True,0.8064607216349945
8,2008,114,343,0.36,,False,False,0.19803312923714234
10,5034,236,529,0.68,,True,True,0.8623598675067627
12,622,62,78,0.29,,False,False,0.13463652037910545
13,2387,128,574,0.29,0.2374413614627535,False,False,0.1708221946016389
14,5837,269,556,0.14,,False,False,0.1484624268390084
15,5866,270,523,0.25,,False,False,0.2529373394659165
16,3459,168,194,0.24,,False,False,0.16495803961842295
17,5081,238,584,0.18,-0.34781011130854383,False,False,0.2541480314514942
18,3105,154,285,0.33,,False,True,0.7832177327349894
19,5040,236,161,0.14,,False,False,0.22256151712523453
20,2370,127,101,0.68,1.3281422717551117,True,True,0.7502380094135598
21,879,71,154,0.83,,True,True,0.7870656449114717
22,247,45,107,0.17,1.152238718099145,False,False,0.24453684230069855
24,3929,187,171,0.12,,False,False,0.2697827878607091
25,3815,182,420,0.28,-0.12500182860689552,False,False,0.26875273128737887
26,3207,158,497,0.18,1.0081606590476824,False,False,0.22494629769869526
27,4697,223,435,0.34,0.021446392813407992,False,False,0.1864209316173564
29,5515,257,299,0.29,,False,False,0.247120971355442
30,691,64,362,0.12,0.375009191243543,False,False,0.2683658512913194
31,3630,175,202,0.16,,False,False,0.23885025762836795
32,5194,244,32,0.28,,False,False,0.1711460010143858
33,2623,137,354,0.33,,False,False,0.1752325831202636
34,1942,111,142,0.14,,False,False,0.26768416729203137
35,1108,79,357,0.75,,True,True,0.7943960823816889
36,3826,183,342,0.34,,False,False,0.20865092634822968
37,3167,156,267,0.35,,False,True,0.7896868989417567
38,598,60,357,0.22,-0.10171892841964227,False,False,0.2085745966566136
39,1765,105,488,0.12,,False,False,0.21342807128660024
40,315,47,352,0.26,0.13040105317179548,False,False,0.16446141718359591
